NAZIONE;TERPA_DESCR_ENTE_CIRC;LISTE_DESCR_LISTA;VOTLI_NUM_VOTI_VAL
AUSTRIA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;1
AUSTRIA;III : ITALIA CENTRALE;FORZA NUOVA;0
AUSTRIA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
AUSTRIA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;119
AUSTRIA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;104
AUSTRIA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;42
AUSTRIA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;41
AUSTRIA;IV : ITALIA MERIDIONALE;EUROPA VERDE;34
AUSTRIA;IV : ITALIA MERIDIONALE;LA SINISTRA;32
AUSTRIA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;12
AUSTRIA;IV : ITALIA MERIDIONALE;FORZA ITALIA;10
AUSTRIA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;10
AUSTRIA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;4
AUSTRIA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;3
AUSTRIA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;3
AUSTRIA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;1
AUSTRIA;IV : ITALIA MERIDIONALE;FORZA NUOVA;1
AUSTRIA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;1
AUSTRIA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;54
AUSTRIA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;45
AUSTRIA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;27
AUSTRIA;V : ITALIA INSULARE;EUROPA VERDE;21
AUSTRIA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;17
AUSTRIA;V : ITALIA INSULARE;LA SINISTRA;16
AUSTRIA;V : ITALIA INSULARE;FRATELLI D'ITALIA;9
AUSTRIA;V : ITALIA INSULARE;FORZA ITALIA;6
AUSTRIA;V : ITALIA INSULARE;PARTITO PIRATA;4
AUSTRIA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;3
AUSTRIA;V : ITALIA INSULARE;PARTITO ANIMALISTA;3
AUSTRIA;V : ITALIA INSULARE;PARTITO COMUNISTA;2
AUSTRIA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;2
AUSTRIA;V : ITALIA INSULARE;FORZA NUOVA;0
AUSTRIA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;0
BELGIO;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;1042
BELGIO;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;304
BELGIO;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;194
BELGIO;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;194
BELGIO;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;128
BELGIO;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;116
BELGIO;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;81
BELGIO;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;38
BELGIO;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;15
BELGIO;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;14
BELGIO;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;13
BELGIO;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;11
BELGIO;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;8
BELGIO;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;6
BELGIO;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;2
BELGIO;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;2
BELGIO;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;958
BELGIO;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;277
BELGIO;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;270
BELGIO;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;233
BELGIO;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;122
BELGIO;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;94
BELGIO;II : ITALIA NORD-ORIENTALE;LA SINISTRA;90
BELGIO;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;32
BELGIO;II : ITALIA NORD-ORIENTALE;SVP;17
BELGIO;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;15
BELGIO;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;13
BELGIO;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;12
BELGIO;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;12
BELGIO;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;6
BELGIO;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;3
BELGIO;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;2
BELGIO;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;2
BELGIO;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;1169
BELGIO;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;314
BELGIO;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;291
BELGIO;III : ITALIA CENTRALE;EUROPA VERDE;217
BELGIO;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;207
BELGIO;III : ITALIA CENTRALE;FORZA ITALIA;151
BELGIO;III : ITALIA CENTRALE;LA SINISTRA;113
BELGIO;III : ITALIA CENTRALE;FRATELLI D'ITALIA;73
BELGIO;III : ITALIA CENTRALE;PARTITO ANIMALISTA;23
BELGIO;III : ITALIA CENTRALE;PARTITO COMUNISTA;16
BELGIO;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;9
BELGIO;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;9
BELGIO;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;7
BELGIO;III : ITALIA CENTRALE;PARTITO PIRATA;4
BELGIO;III : ITALIA CENTRALE;FORZA NUOVA;2
BELGIO;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;786
BELGIO;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;629
BELGIO;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;367
BELGIO;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;218
BELGIO;IV : ITALIA MERIDIONALE;EUROPA VERDE;195
BELGIO;IV : ITALIA MERIDIONALE;FORZA ITALIA;176
BELGIO;IV : ITALIA MERIDIONALE;LA SINISTRA;97
BELGIO;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;60
BELGIO;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;29
BELGIO;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;19
BELGIO;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;17
BELGIO;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;14
BELGIO;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;8
BELGIO;IV : ITALIA MERIDIONALE;PARTITO PIRATA;7
BELGIO;IV : ITALIA MERIDIONALE;FORZA NUOVA;3
BELGIO;V : ITALIA INSULARE;LEGA SALVINI PREMIER;966
BELGIO;V : ITALIA INSULARE;PARTITO DEMOCRATICO;682
BELGIO;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;448
BELGIO;V : ITALIA INSULARE;FORZA ITALIA;364
BELGIO;V : ITALIA INSULARE;EUROPA VERDE;171
BELGIO;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;147
BELGIO;V : ITALIA INSULARE;FRATELLI D'ITALIA;93
BELGIO;V : ITALIA INSULARE;LA SINISTRA;58
BELGIO;V : ITALIA INSULARE;PARTITO COMUNISTA;51
BELGIO;V : ITALIA INSULARE;PARTITO ANIMALISTA;25
BELGIO;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;25
BELGIO;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;24
BELGIO;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;9
BELGIO;V : ITALIA INSULARE;FORZA NUOVA;9
BELGIO;V : ITALIA INSULARE;PARTITO PIRATA;4
BULGARIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;38
BULGARIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;16
BULGARIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;14
BULGARIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;10
BULGARIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;6
BULGARIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;6
BULGARIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;1
BULGARIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;1
BULGARIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;1
BULGARIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;0
BULGARIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
BULGARIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;21
BULGARIA;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;13
BULGARIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;13
BULGARIA;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;3
BULGARIA;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;3
BULGARIA;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;2
BULGARIA;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;2
BULGARIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;1
BULGARIA;II : ITALIA NORD-ORIENTALE;LA SINISTRA;1
BULGARIA;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;1
BULGARIA;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
BULGARIA;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;0
BULGARIA;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;0
BULGARIA;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;0
BULGARIA;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
BULGARIA;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
BULGARIA;II : ITALIA NORD-ORIENTALE;SVP;0
BULGARIA;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;30
BULGARIA;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;19
BULGARIA;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;15
BULGARIA;III : ITALIA CENTRALE;FRATELLI D'ITALIA;5
BULGARIA;III : ITALIA CENTRALE;FORZA ITALIA;4
BULGARIA;III : ITALIA CENTRALE;EUROPA VERDE;2
BULGARIA;III : ITALIA CENTRALE;LA SINISTRA;2
BULGARIA;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
BULGARIA;III : ITALIA CENTRALE;PARTITO COMUNISTA;1
BULGARIA;III : ITALIA CENTRALE;PARTITO PIRATA;1
BULGARIA;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;0
BULGARIA;III : ITALIA CENTRALE;FORZA NUOVA;0
BULGARIA;III : ITALIA CENTRALE;PARTITO ANIMALISTA;0
BULGARIA;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
BULGARIA;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
BULGARIA;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;12
BULGARIA;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;10
BULGARIA;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;9
BULGARIA;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;5
BULGARIA;IV : ITALIA MERIDIONALE;FORZA ITALIA;3
BULGARIA;IV : ITALIA MERIDIONALE;EUROPA VERDE;2
BULGARIA;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
BULGARIA;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;0
BULGARIA;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
BULGARIA;IV : ITALIA MERIDIONALE;LA SINISTRA;0
BULGARIA;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;0
BULGARIA;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;0
BULGARIA;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
BULGARIA;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;0
BULGARIA;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
BULGARIA;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;6
BULGARIA;V : ITALIA INSULARE;PARTITO DEMOCRATICO;6
BULGARIA;V : ITALIA INSULARE;FRATELLI D'ITALIA;3
BULGARIA;V : ITALIA INSULARE;LA SINISTRA;3
BULGARIA;V : ITALIA INSULARE;LEGA SALVINI PREMIER;2
BULGARIA;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
BULGARIA;V : ITALIA INSULARE;EUROPA VERDE;1
BULGARIA;V : ITALIA INSULARE;FORZA ITALIA;1
BULGARIA;V : ITALIA INSULARE;PARTITO COMUNISTA;1
BULGARIA;V : ITALIA INSULARE;PARTITO PIRATA;1
BULGARIA;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;0
BULGARIA;V : ITALIA INSULARE;FORZA NUOVA;0
BULGARIA;V : ITALIA INSULARE;PARTITO ANIMALISTA;0
BULGARIA;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;0
BULGARIA;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;12
CIPRO;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;8
CIPRO;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;6
CIPRO;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;2
CIPRO;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;2
CIPRO;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;2
CIPRO;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;2
CIPRO;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
CIPRO;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;0
CIPRO;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
CIPRO;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;18
CIPRO;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;8
CIPRO;II : ITALIA NORD-ORIENTALE;MOVIMENTO 5 STELLE;4
CIPRO;II : ITALIA NORD-ORIENTALE;FRATELLI D'ITALIA;3
CIPRO;II : ITALIA NORD-ORIENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;2
CIPRO;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;2
CIPRO;II : ITALIA NORD-ORIENTALE;EUROPA VERDE;1
CIPRO;II : ITALIA NORD-ORIENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
CIPRO;II : ITALIA NORD-ORIENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
CIPRO;II : ITALIA NORD-ORIENTALE;FORZA NUOVA;0
CIPRO;II : ITALIA NORD-ORIENTALE;LA SINISTRA;0
CIPRO;II : ITALIA NORD-ORIENTALE;PARTITO ANIMALISTA;0
CIPRO;II : ITALIA NORD-ORIENTALE;PARTITO COMUNISTA;0
CIPRO;II : ITALIA NORD-ORIENTALE;PARTITO PIRATA;0
CIPRO;II : ITALIA NORD-ORIENTALE;POPOLARI PER L'ITALIA;0
CIPRO;II : ITALIA NORD-ORIENTALE;PPA MOVIMENTO POLITICO PENSIERO AZIONE;0
CIPRO;II : ITALIA NORD-ORIENTALE;SVP;0
CIPRO;III : ITALIA CENTRALE;LEGA SALVINI PREMIER;33
CIPRO;III : ITALIA CENTRALE;PARTITO DEMOCRATICO;29
CIPRO;III : ITALIA CENTRALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;11
CIPRO;III : ITALIA CENTRALE;FRATELLI D'ITALIA;9
CIPRO;III : ITALIA CENTRALE;FORZA ITALIA;8
CIPRO;III : ITALIA CENTRALE;MOVIMENTO 5 STELLE;7
CIPRO;III : ITALIA CENTRALE;EUROPA VERDE;3
CIPRO;III : ITALIA CENTRALE;LA SINISTRA;3
CIPRO;III : ITALIA CENTRALE;PARTITO COMUNISTA;2
CIPRO;III : ITALIA CENTRALE;CASAPOUND ITALIA - DESTRE UNITE;0
CIPRO;III : ITALIA CENTRALE;FORZA NUOVA;0
CIPRO;III : ITALIA CENTRALE;PARTITO ANIMALISTA;0
CIPRO;III : ITALIA CENTRALE;PARTITO PIRATA;0
CIPRO;III : ITALIA CENTRALE;POPOLARI PER L'ITALIA;0
CIPRO;III : ITALIA CENTRALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
CIPRO;IV : ITALIA MERIDIONALE;PARTITO DEMOCRATICO;7
CIPRO;IV : ITALIA MERIDIONALE;MOVIMENTO 5 STELLE;4
CIPRO;IV : ITALIA MERIDIONALE;LEGA SALVINI PREMIER;2
CIPRO;IV : ITALIA MERIDIONALE;EUROPA VERDE;1
CIPRO;IV : ITALIA MERIDIONALE;LA SINISTRA;1
CIPRO;IV : ITALIA MERIDIONALE;CASAPOUND ITALIA - DESTRE UNITE;0
CIPRO;IV : ITALIA MERIDIONALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;0
CIPRO;IV : ITALIA MERIDIONALE;FORZA ITALIA;0
CIPRO;IV : ITALIA MERIDIONALE;FORZA NUOVA;0
CIPRO;IV : ITALIA MERIDIONALE;FRATELLI D'ITALIA;0
CIPRO;IV : ITALIA MERIDIONALE;PARTITO ANIMALISTA;0
CIPRO;IV : ITALIA MERIDIONALE;PARTITO COMUNISTA;0
CIPRO;IV : ITALIA MERIDIONALE;PARTITO PIRATA;0
CIPRO;IV : ITALIA MERIDIONALE;POPOLARI PER L'ITALIA;0
CIPRO;IV : ITALIA MERIDIONALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
CIPRO;V : ITALIA INSULARE;LEGA SALVINI PREMIER;6
CIPRO;V : ITALIA INSULARE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;3
CIPRO;V : ITALIA INSULARE;LA SINISTRA;3
CIPRO;V : ITALIA INSULARE;MOVIMENTO 5 STELLE;3
CIPRO;V : ITALIA INSULARE;PARTITO ANIMALISTA;2
CIPRO;V : ITALIA INSULARE;PARTITO DEMOCRATICO;2
CIPRO;V : ITALIA INSULARE;EUROPA VERDE;1
CIPRO;V : ITALIA INSULARE;FRATELLI D'ITALIA;1
CIPRO;V : ITALIA INSULARE;PARTITO COMUNISTA;1
CIPRO;V : ITALIA INSULARE;POPOLARI PER L'ITALIA;1
CIPRO;V : ITALIA INSULARE;CASAPOUND ITALIA - DESTRE UNITE;0
CIPRO;V : ITALIA INSULARE;FORZA ITALIA;0
CIPRO;V : ITALIA INSULARE;FORZA NUOVA;0
CIPRO;V : ITALIA INSULARE;PARTITO PIRATA;0
CIPRO;V : ITALIA INSULARE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;LEGA SALVINI PREMIER;18
CROAZIA;I : ITALIA NORD-OCCIDENTALE;FORZA ITALIA;10
CROAZIA;I : ITALIA NORD-OCCIDENTALE;PARTITO DEMOCRATICO;7
CROAZIA;I : ITALIA NORD-OCCIDENTALE;MOVIMENTO 5 STELLE;6
CROAZIA;I : ITALIA NORD-OCCIDENTALE;FRATELLI D'ITALIA;5
CROAZIA;I : ITALIA NORD-OCCIDENTALE;+EUROPA - ITALIA IN COMUNE - PDE ITALIA;1
CROAZIA;I : ITALIA NORD-OCCIDENTALE;EUROPA VERDE;1
CROAZIA;I : ITALIA NORD-OCCIDENTALE;POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE;1
CROAZIA;I : ITALIA NORD-OCCIDENTALE;AUTONOMIE PER L'EUROPA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;CASAPOUND ITALIA - DESTRE UNITE;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;FORZA NUOVA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;LA SINISTRA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;PARTITO ANIMALISTA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;PARTITO COMUNISTA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;PARTITO PIRATA;0
CROAZIA;I : ITALIA NORD-OCCIDENTALE;POPOLARI PER L'ITALIA;0
CROAZIA;II : ITALIA NORD-ORIENTALE;LEGA SALVINI PREMIER;173
CROAZIA;II : ITALIA NORD-ORIENTALE;PARTITO DEMOCRATICO;122
CROAZIA;II : ITALIA NORD-ORIENTALE;FORZA ITALIA;66
