"ITTER107"	"TIPO_DATO15"	"SEXISTAT1"	"ETA1"	"TIME"	"Value"	"Flag Codes"
"052032"	"JAN"	"9"	"TOTAL"	"2018"	5360	
"053011"	"JAN"	"9"	"TOTAL"	"2018"	7444	
"100005"	"JAN"	"9"	"TOTAL"	"2018"	38199	
"054039"	"JAN"	"9"	"TOTAL"	"2018"	20452	
"055032"	"JAN"	"9"	"TOTAL"	"2018"	13191	
"041044"	"JAN"	"9"	"TOTAL"	"2018"	7218	
"042002"	"JAN"	"9"	"TOTAL"	"2018"	13444	
"043023"	"JAN"	"9"	"TOTAL"	"2018"	3792	
"044007"	"JAN"	"9"	"TOTAL"	"2018"	2966	
"109006"	"JAN"	"9"	"TOTAL"	"2018"	3694	
"056059"	"JAN"	"9"	"TOTAL"	"2018"	6549	
"057059"	"JAN"	"9"	"TOTAL"	"2018"	3411	
"058091"	"JAN"	"9"	"TOTAL"	"2018"	385559	
"059011"	"JAN"	"9"	"TOTAL"	"2018"	11284	
"060038"	"JAN"	"9"	"TOTAL"	"2018"	3359	
"066049"	"JAN"	"9"	"TOTAL"	"2018"	5246	
"067041"	"JAN"	"9"	"TOTAL"	"2018"	3813	
"068028"	"JAN"	"9"	"TOTAL"	"2018"	5540	
"069022"	"JAN"	"9"	"TOTAL"	"2018"	2378	
"070006"	"JAN"	"9"	"TOTAL"	"2018"	1834	
"094023"	"JAN"	"9"	"TOTAL"	"2018"	980	
"061022"	"JAN"	"9"	"TOTAL"	"2018"	3793	
"062008"	"JAN"	"9"	"TOTAL"	"2018"	2065	
"063049"	"JAN"	"9"	"TOTAL"	"2018"	58203	
"064008"	"JAN"	"9"	"TOTAL"	"2018"	1721	
"065116"	"JAN"	"9"	"TOTAL"	"2018"	5609	
"071024"	"JAN"	"9"	"TOTAL"	"2018"	6935	
"072006"	"JAN"	"9"	"TOTAL"	"2018"	13755	
"073027"	"JAN"	"9"	"TOTAL"	"2018"	3762	
"074001"	"JAN"	"9"	"TOTAL"	"2018"	2399	
"075035"	"JAN"	"9"	"TOTAL"	"2018"	7373	
"110001"	"JAN"	"9"	"TOTAL"	"2018"	1790	
"110002"	"JAN"	"9"	"TOTAL"	"2018"	2300	
"110009"	"JAN"	"9"	"TOTAL"	"2018"	2088	
"076063"	"JAN"	"9"	"TOTAL"	"2018"	1939	
"077014"	"JAN"	"9"	"TOTAL"	"2018"	2591	
"078045"	"JAN"	"9"	"TOTAL"	"2018"	4003	
"079023"	"JAN"	"9"	"TOTAL"	"2018"	3036	
"080063"	"JAN"	"9"	"TOTAL"	"2018"	11789	
"101010"	"JAN"	"9"	"TOTAL"	"2018"	5589	
"102047"	"JAN"	"9"	"TOTAL"	"2018"	1670	
"081021"	"JAN"	"9"	"TOTAL"	"2018"	2377	
"082053"	"JAN"	"9"	"TOTAL"	"2018"	25663	
"083048"	"JAN"	"9"	"TOTAL"	"2018"	11885	
"084001"	"JAN"	"9"	"TOTAL"	"2018"	2774	
"085004"	"JAN"	"9"	"TOTAL"	"2018"	3192	
"086009"	"JAN"	"9"	"TOTAL"	"2018"	891	
"087015"	"JAN"	"9"	"TOTAL"	"2018"	13544	
"088009"	"JAN"	"9"	"TOTAL"	"2018"	5256	
"089017"	"JAN"	"9"	"TOTAL"	"2018"	5902	
"090064"	"JAN"	"9"	"TOTAL"	"2018"	4467	
"091051"	"JAN"	"9"	"TOTAL"	"2018"	1298	
"092009"	"JAN"	"9"	"TOTAL"	"2018"	8936	
"095038"	"JAN"	"9"	"TOTAL"	"2018"	930	
"028001"	"JAN"	"9"	"TOTAL"	"2018"	2073	
"098001"	"JAN"	"9"	"TOTAL"	"2018"	17	
"097001"	"JAN"	"9"	"TOTAL"	"2018"	142	
"052001"	"JAN"	"9"	"TOTAL"	"2018"	694	
"095001"	"JAN"	"9"	"TOTAL"	"2018"	73	
"068001"	"JAN"	"9"	"TOTAL"	"2018"	13	
"015002"	"JAN"	"9"	"TOTAL"	"2018"	3850	
"076001"	"JAN"	"9"	"TOTAL"	"2018"	20	
"088001"	"JAN"	"9"	"TOTAL"	"2018"	3550	
"071001"	"JAN"	"9"	"TOTAL"	"2018"	115	
"004001"	"JAN"	"9"	"TOTAL"	"2018"	17	
"077001"	"JAN"	"9"	"TOTAL"	"2018"	26	
"066001"	"JAN"	"9"	"TOTAL"	"2018"	23	
"057001"	"JAN"	"9"	"TOTAL"	"2018"	71	
"076002"	"JAN"	"9"	"TOTAL"	"2018"	88	
"065001"	"JAN"	"9"	"TOTAL"	"2018"	78	
"063001"	"JAN"	"9"	"TOTAL"	"2018"	2092	
"087001"	"JAN"	"9"	"TOTAL"	"2018"	83	
"087002"	"JAN"	"9"	"TOTAL"	"2018"	579	
"087003"	"JAN"	"9"	"TOTAL"	"2018"	610	
"087005"	"JAN"	"9"	"TOTAL"	"2018"	297	
"087004"	"JAN"	"9"	"TOTAL"	"2018"	1438	
"060001"	"JAN"	"9"	"TOTAL"	"2018"	6	
"078001"	"JAN"	"9"	"TOTAL"	"2018"	90	
"017001"	"JAN"	"9"	"TOTAL"	"2018"	172	
"041001"	"JAN"	"9"	"TOTAL"	"2018"	352	
"019001"	"JAN"	"9"	"TOTAL"	"2018"	106	
"020001"	"JAN"	"9"	"TOTAL"	"2018"	309	
"056001"	"JAN"	"9"	"TOTAL"	"2018"	440	
"078002"	"JAN"	"9"	"TOTAL"	"2018"	52	
"075001"	"JAN"	"9"	"TOTAL"	"2018"	118	
"102001"	"JAN"	"9"	"TOTAL"	"2018"	26	
"044001"	"JAN"	"9"	"TOTAL"	"2018"	101	
"055001"	"JAN"	"9"	"TOTAL"	"2018"	634	
"070001"	"JAN"	"9"	"TOTAL"	"2018"	15	
"072001"	"JAN"	"9"	"TOTAL"	"2018"	680	
"094001"	"JAN"	"9"	"TOTAL"	"2018"	12	
"044002"	"JAN"	"9"	"TOTAL"	"2018"	191	
"085001"	"JAN"	"9"	"TOTAL"	"2018"	9	
"083107"	"JAN"	"9"	"TOTAL"	"2018"	209	
"006001"	"JAN"	"9"	"TOTAL"	"2018"	2076	
"078003"	"JAN"	"9"	"TOTAL"	"2018"	695	
"060002"	"JAN"	"9"	"TOTAL"	"2018"	74	
"072002"	"JAN"	"9"	"TOTAL"	"2018"	414	
"087006"	"JAN"	"9"	"TOTAL"	"2018"	463	
"016001"	"JAN"	"9"	"TOTAL"	"2018"	332	
"016002"	"JAN"	"9"	"TOTAL"	"2018"	107	
"029001"	"JAN"	"9"	"TOTAL"	"2018"	1124	
"017002"	"JAN"	"9"	"TOTAL"	"2018"	415	
"023001"	"JAN"	"9"	"TOTAL"	"2018"	174	
"058001"	"JAN"	"9"	"TOTAL"	"2018"	51	
"063002"	"JAN"	"9"	"TOTAL"	"2018"	1995	
"080001"	"JAN"	"9"	"TOTAL"	"2018"	51	
"033001"	"JAN"	"9"	"TOTAL"	"2018"	299	
"063003"	"JAN"	"9"	"TOTAL"	"2018"	327	
"086001"	"JAN"	"9"	"TOTAL"	"2018"	69	
"047002"	"JAN"	"9"	"TOTAL"	"2018"	1564	
"005001"	"JAN"	"9"	"TOTAL"	"2018"	175	
"001001"	"JAN"	"9"	"TOTAL"	"2018"	257	
"028002"	"JAN"	"9"	"TOTAL"	"2018"	204	
"019002"	"JAN"	"9"	"TOTAL"	"2018"	503	
"080002"	"JAN"	"9"	"TOTAL"	"2018"	26	
"094002"	"JAN"	"9"	"TOTAL"	"2018"	181	
"017003"	"JAN"	"9"	"TOTAL"	"2018"	89	
"025001"	"JAN"	"9"	"TOTAL"	"2018"	217	
"058002"	"JAN"	"9"	"TOTAL"	"2018"	127	
"012001"	"JAN"	"9"	"TOTAL"	"2018"	57	
"108001"	"JAN"	"9"	"TOTAL"	"2018"	1331	
"003001"	"JAN"	"9"	"TOTAL"	"2018"	84	
"065002"	"JAN"	"9"	"TOTAL"	"2018"	1550	
"042001"	"JAN"	"9"	"TOTAL"	"2018"	205	
"024001"	"JAN"	"9"	"TOTAL"	"2018"	40	
"108002"	"JAN"	"9"	"TOTAL"	"2018"	175	
"095002"	"JAN"	"9"	"TOTAL"	"2018"	20	
"086002"	"JAN"	"9"	"TOTAL"	"2018"	265	
"066002"	"JAN"	"9"	"TOTAL"	"2018"	116	
"078004"	"JAN"	"9"	"TOTAL"	"2018"	36	
"030001"	"JAN"	"9"	"TOTAL"	"2018"	112	
"064001"	"JAN"	"9"	"TOTAL"	"2018"	83	
"078005"	"JAN"	"9"	"TOTAL"	"2018"	35	
"061001"	"JAN"	"9"	"TOTAL"	"2018"	44	
"096001"	"JAN"	"9"	"TOTAL"	"2018"	9	
"001002"	"JAN"	"9"	"TOTAL"	"2018"	260	
"062001"	"JAN"	"9"	"TOTAL"	"2018"	444	
"008001"	"JAN"	"9"	"TOTAL"	"2018"	126	
"097002"	"JAN"	"9"	"TOTAL"	"2018"	317	
"004002"	"JAN"	"9"	"TOTAL"	"2018"	4	
"022001"	"JAN"	"9"	"TOTAL"	"2018"	1030	
"001003"	"JAN"	"9"	"TOTAL"	"2018"	2	
"018001"	"JAN"	"9"	"TOTAL"	"2018"	58	
"002002"	"JAN"	"9"	"TOTAL"	"2018"	5	
"068002"	"JAN"	"9"	"TOTAL"	"2018"	129	
"025002"	"JAN"	"9"	"TOTAL"	"2018"	382	
"009001"	"JAN"	"9"	"TOTAL"	"2018"	1126	
"060003"	"JAN"	"9"	"TOTAL"	"2018"	2110	
"004003"	"JAN"	"9"	"TOTAL"	"2018"	3801	
"067001"	"JAN"	"9"	"TOTAL"	"2018"	1809	
"095003"	"JAN"	"9"	"TOTAL"	"2018"	2	
"015005"	"JAN"	"9"	"TOTAL"	"2018"	260	
"065003"	"JAN"	"9"	"TOTAL"	"2018"	420	
"076003"	"JAN"	"9"	"TOTAL"	"2018"	13	
"058003"	"JAN"	"9"	"TOTAL"	"2018"	4195	
"016003"	"JAN"	"9"	"TOTAL"	"2018"	1070	
"002003"	"JAN"	"9"	"TOTAL"	"2018"	47	
"018002"	"JAN"	"9"	"TOTAL"	"2018"	25	
"023002"	"JAN"	"9"	"TOTAL"	"2018"	534	
"014001"	"JAN"	"9"	"TOTAL"	"2018"	3	
"034001"	"JAN"	"9"	"TOTAL"	"2018"	95	
"004004"	"JAN"	"9"	"TOTAL"	"2018"	17	
"013003"	"JAN"	"9"	"TOTAL"	"2018"	332	
"009002"	"JAN"	"9"	"TOTAL"	"2018"	2758	
"006002"	"JAN"	"9"	"TOTAL"	"2018"	11	
"072003"	"JAN"	"9"	"TOTAL"	"2018"	472	
"071002"	"JAN"	"9"	"TOTAL"	"2018"	23	
"013004"	"JAN"	"9"	"TOTAL"	"2018"	193	
"024002"	"JAN"	"9"	"TOTAL"	"2018"	143	
"079002"	"JAN"	"9"	"TOTAL"	"2018"	5	
"022002"	"JAN"	"9"	"TOTAL"	"2018"	132	
"001004"	"JAN"	"9"	"TOTAL"	"2018"	119	
"108003"	"JAN"	"9"	"TOTAL"	"2018"	570	
"078006"	"JAN"	"9"	"TOTAL"	"2018"	9	
"028003"	"JAN"	"9"	"TOTAL"	"2018"	1684	
"035001"	"JAN"	"9"	"TOTAL"	"2018"	508	
"016004"	"JAN"	"9"	"TOTAL"	"2018"	1046	
"013005"	"JAN"	"9"	"TOTAL"	"2018"	97	
"009004"	"JAN"	"9"	"TOTAL"	"2018"	557	
"009003"	"JAN"	"9"	"TOTAL"	"2018"	231	
"012002"	"JAN"	"9"	"TOTAL"	"2018"	342	
"018003"	"JAN"	"9"	"TOTAL"	"2018"	38	
"014002"	"JAN"	"9"	"TOTAL"	"2018"	92	
"005002"	"JAN"	"9"	"TOTAL"	"2018"	73	
"018004"	"JAN"	"9"	"TOTAL"	"2018"	437	
"081001"	"JAN"	"9"	"TOTAL"	"2018"	2025	
"083001"	"JAN"	"9"	"TOTAL"	"2018"	28	
"022003"	"JAN"	"9"	"TOTAL"	"2018"	202	
"021001"	"JAN"	"9"	"TOTAL"	"2018"	47	
"095004"	"JAN"	"9"	"TOTAL"	"2018"	22	
"078007"	"JAN"	"9"	"TOTAL"	"2018"	1	
"084002"	"JAN"	"9"	"TOTAL"	"2018"	74	
"075002"	"JAN"	"9"	"TOTAL"	"2018"	119	
"075003"	"JAN"	"9"	"TOTAL"	"2018"	98	
"065004"	"JAN"	"9"	"TOTAL"	"2018"	12	
"066003"	"JAN"	"9"	"TOTAL"	"2018"	48	
"017004"	"JAN"	"9"	"TOTAL"	"2018"	208	
"006004"	"JAN"	"9"	"TOTAL"	"2018"	103	
"039001"	"JAN"	"9"	"TOTAL"	"2018"	1279	
"090003"	"JAN"	"9"	"TOTAL"	"2018"	1965	
"016248"	"JAN"	"9"	"TOTAL"	"2018"	26	
"083002"	"JAN"	"9"	"TOTAL"	"2018"	3	
"083003"	"JAN"	"9"	"TOTAL"	"2018"	66	
"082001"	"JAN"	"9"	"TOTAL"	"2018"	80	
"077002"	"JAN"	"9"	"TOTAL"	"2018"	59	
"006005"	"JAN"	"9"	"TOTAL"	"2018"	75	
"001005"	"JAN"	"9"	"TOTAL"	"2018"	39	
"061002"	"JAN"	"9"	"TOTAL"	"2018"	186	
"082002"	"JAN"	"9"	"TOTAL"	"2018"	58	
"082003"	"JAN"	"9"	"TOTAL"	"2018"	15	
"095005"	"JAN"	"9"	"TOTAL"	"2018"	8	
"025003"	"JAN"	"9"	"TOTAL"	"2018"	60	
"007001"	"JAN"	"9"	"TOTAL"	"2018"	4	
"055002"	"JAN"	"9"	"TOTAL"	"2018"	93	
"075004"	"JAN"	"9"	"TOTAL"	"2018"	161	
"058004"	"JAN"	"9"	"TOTAL"	"2018"	247	
"006006"	"JAN"	"9"	"TOTAL"	"2018"	52	
"016005"	"JAN"	"9"	"TOTAL"	"2018"	341	
"016006"	"JAN"	"9"	"TOTAL"	"2018"	220	
"016007"	"JAN"	"9"	"TOTAL"	"2018"	206	
"001006"	"JAN"	"9"	"TOTAL"	"2018"	300	
"024003"	"JAN"	"9"	"TOTAL"	"2018"	89	
"001007"	"JAN"	"9"	"TOTAL"	"2018"	8	
"001008"	"JAN"	"9"	"TOTAL"	"2018"	891	
"033002"	"JAN"	"9"	"TOTAL"	"2018"	468	
"013006"	"JAN"	"9"	"TOTAL"	"2018"	69	
"072004"	"JAN"	"9"	"TOTAL"	"2018"	3604	
"009005"	"JAN"	"9"	"TOTAL"	"2018"	209	
"064002"	"JAN"	"9"	"TOTAL"	"2018"	102	
"082004"	"JAN"	"9"	"TOTAL"	"2018"	173	
"006007"	"JAN"	"9"	"TOTAL"	"2018"	24	
"065005"	"JAN"	"9"	"TOTAL"	"2018"	448	
"024004"	"JAN"	"9"	"TOTAL"	"2018"	1045	
"109001"	"JAN"	"9"	"TOTAL"	"2018"	293	
"078008"	"JAN"	"9"	"TOTAL"	"2018"	7	
"069001"	"JAN"	"9"	"TOTAL"	"2018"	306	
"024005"	"JAN"	"9"	"TOTAL"	"2018"	191	
"026001"	"JAN"	"9"	"TOTAL"	"2018"	677	
"004005"	"JAN"	"9"	"TOTAL"	"2018"	18	
"082005"	"JAN"	"9"	"TOTAL"	"2018"	77	
"078009"	"JAN"	"9"	"TOTAL"	"2018"	168	
"046001"	"JAN"	"9"	"TOTAL"	"2018"	2203	
"055003"	"JAN"	"9"	"TOTAL"	"2018"	57	
"061003"	"JAN"	"9"	"TOTAL"	"2018"	259	
"060004"	"JAN"	"9"	"TOTAL"	"2018"	111	
"016008"	"JAN"	"9"	"TOTAL"	"2018"	1132	
"006008"	"JAN"	"9"	"TOTAL"	"2018"	44	
"013007"	"JAN"	"9"	"TOTAL"	"2018"	180	
"065006"	"JAN"	"9"	"TOTAL"	"2018"	169	
"109002"	"JAN"	"9"	"TOTAL"	"2018"	341	
"078010"	"JAN"	"9"	"TOTAL"	"2018"	632	
"030002"	"JAN"	"9"	"TOTAL"	"2018"	37	
"079003"	"JAN"	"9"	"TOTAL"	"2018"	36	
"060005"	"JAN"	"9"	"TOTAL"	"2018"	312	
"079004"	"JAN"	"9"	"TOTAL"	"2018"	50	
"057002"	"JAN"	"9"	"TOTAL"	"2018"	156	
"016009"	"JAN"	"9"	"TOTAL"	"2018"	134	
"011001"	"JAN"	"9"	"TOTAL"	"2018"	254	
"055004"	"JAN"	"9"	"TOTAL"	"2018"	906	
"078011"	"JAN"	"9"	"TOTAL"	"2018"	144	
"003002"	"JAN"	"9"	"TOTAL"	"2018"	149	
"062002"	"JAN"	"9"	"TOTAL"	"2018"	96	
"063004"	"JAN"	"9"	"TOTAL"	"2018"	497	
"060006"	"JAN"	"9"	"TOTAL"	"2018"	1246	
"067002"	"JAN"	"9"	"TOTAL"	"2018"	159	
"079005"	"JAN"	"9"	"TOTAL"	"2018"	20	
"022005"	"JAN"	"9"	"TOTAL"	"2018"	64	
"009006"	"JAN"	"9"	"TOTAL"	"2018"	624	
"096002"	"JAN"	"9"	"TOTAL"	"2018"	220	
"075005"	"JAN"	"9"	"TOTAL"	"2018"	138	
"001010"	"JAN"	"9"	"TOTAL"	"2018"	36	
"021002"	"JAN"	"9"	"TOTAL"	"2018"	61	
"090004"	"JAN"	"9"	"TOTAL"	"2018"	11	
"017005"	"JAN"	"9"	"TOTAL"	"2018"	52	
"017006"	"JAN"	"9"	"TOTAL"	"2018"	93	
"065007"	"JAN"	"9"	"TOTAL"	"2018"	1158	
"001011"	"JAN"	"9"	"TOTAL"	"2018"	13	
"019003"	"JAN"	"9"	"TOTAL"	"2018"	218	
"027001"	"JAN"	"9"	"TOTAL"	"2018"	487	
"080003"	"JAN"	"9"	"TOTAL"	"2018"	57	
"058006"	"JAN"	"9"	"TOTAL"	"2018"	75	
"005003"	"JAN"	"9"	"TOTAL"	"2018"	44	
"080004"	"JAN"	"9"	"TOTAL"	"2018"	46	
"062003"	"JAN"	"9"	"TOTAL"	"2018"	146	
"044005"	"JAN"	"9"	"TOTAL"	"2018"	88	
"065008"	"JAN"	"9"	"TOTAL"	"2018"	65	
"084003"	"JAN"	"9"	"TOTAL"	"2018"	471	
"058008"	"JAN"	"9"	"TOTAL"	"2018"	27	
"038002"	"JAN"	"9"	"TOTAL"	"2018"	454	
"040003"	"JAN"	"9"	"TOTAL"	"2018"	737	
"030010"	"JAN"	"9"	"TOTAL"	"2018"	105	
"098002"	"JAN"	"9"	"TOTAL"	"2018"	144	
"005009"	"JAN"	"9"	"TOTAL"	"2018"	49	
"006016"	"JAN"	"9"	"TOTAL"	"2018"	7	
"017016"	"JAN"	"9"	"TOTAL"	"2018"	34	
"017017"	"JAN"	"9"	"TOTAL"	"2018"	160	
"016025"	"JAN"	"9"	"TOTAL"	"2018"	172	
"108008"	"JAN"	"9"	"TOTAL"	"2018"	855	
"012011"	"JAN"	"9"	"TOTAL"	"2018"	90	
"015022"	"JAN"	"9"	"TOTAL"	"2018"	135	
"022013"	"JAN"	"9"	"TOTAL"	"2018"	86	
"033003"	"JAN"	"9"	"TOTAL"	"2018"	102	
"012012"	"JAN"	"9"	"TOTAL"	"2018"	229	
"012013"	"JAN"	"9"	"TOTAL"	"2018"	931	
"090010"	"JAN"	"9"	"TOTAL"	"2018"	11	
"033004"	"JAN"	"9"	"TOTAL"	"2018"	220	
"054003"	"JAN"	"9"	"TOTAL"	"2018"	467	
"103011"	"JAN"	"9"	"TOTAL"	"2018"	47	
"054004"	"JAN"	"9"	"TOTAL"	"2018"	395	
"011003"	"JAN"	"9"	"TOTAL"	"2018"	86	
"023008"	"JAN"	"9"	"TOTAL"	"2018"	140	
"087008"	"JAN"	"9"	"TOTAL"	"2018"	597	
"078016"	"JAN"	"9"	"TOTAL"	"2018"	11	
"080009"	"JAN"	"9"	"TOTAL"	"2018"	298	
"003018"	"JAN"	"9"	"TOTAL"	"2018"	227	
"012014"	"JAN"	"9"	"TOTAL"	"2018"	177	
"016026"	"JAN"	"9"	"TOTAL"	"2018"	17	
"002011"	"JAN"	"9"	"TOTAL"	"2018"	153	
"014008"	"JAN"	"9"	"TOTAL"	"2018"	84	
"108009"	"JAN"	"9"	"TOTAL"	"2018"	701	
"035004"	"JAN"	"9"	"TOTAL"	"2018"	875	
"051004"	"JAN"	"9"	"TOTAL"	"2018"	1680	
"049001"	"JAN"	"9"	"TOTAL"	"2018"	376	
"001025"	"JAN"	"9"	"TOTAL"	"2018"	382	
"071006"	"JAN"	"9"	"TOTAL"	"2018"	93	
"030011"	"JAN"	"9"	"TOTAL"	"2018"	61	
"095014"	"JAN"	"9"	"TOTAL"	"2018"	0	
"002004"	"JAN"	"9"	"TOTAL"	"2018"	230	
"017018"	"JAN"	"9"	"TOTAL"	"2018"	196	
"022015"	"JAN"	"9"	"TOTAL"	"2018"	33	
"050001"	"JAN"	"9"	"TOTAL"	"2018"	532	
"020004"	"JAN"	"9"	"TOTAL"	"2018"	203	
"013023"	"JAN"	"9"	"TOTAL"	"2018"	200	
"015024"	"JAN"	"9"	"TOTAL"	"2018"	576	
"072008"	"JAN"	"9"	"TOTAL"	"2018"	32	
"096005"	"JAN"	"9"	"TOTAL"	"2018"	24	
"007010"	"JAN"	"9"	"TOTAL"	"2018"	7	
"017019"	"JAN"	"9"	"TOTAL"	"2018"	84	
"091008"	"JAN"	"9"	"TOTAL"	"2018"	13	
"064011"	"JAN"	"9"	"TOTAL"	"2018"	180	
"082010"	"JAN"	"9"	"TOTAL"	"2018"	17	
"110003"	"JAN"	"9"	"TOTAL"	"2018"	1496	
"066011"	"JAN"	"9"	"TOTAL"	"2018"	13	
"067007"	"JAN"	"9"	"TOTAL"	"2018"	83	
"078017"	"JAN"	"9"	"TOTAL"	"2018"	566	
"006017"	"JAN"	"9"	"TOTAL"	"2018"	175	
"012015"	"JAN"	"9"	"TOTAL"	"2018"	150	
"072010"	"JAN"	"9"	"TOTAL"	"2018"	220	
"072011"	"JAN"	"9"	"TOTAL"	"2018"	1091	
"072012"	"JAN"	"9"	"TOTAL"	"2018"	243	
"091009"	"JAN"	"9"	"TOTAL"	"2018"	74	
"084004"	"JAN"	"9"	"TOTAL"	"2018"	77	
"080010"	"JAN"	"9"	"TOTAL"	"2018"	62	
"013024"	"JAN"	"9"	"TOTAL"	"2018"	97	
"022017"	"JAN"	"9"	"TOTAL"	"2018"	94	
"016027"	"JAN"	"9"	"TOTAL"	"2018"	2	
"056007"	"JAN"	"9"	"TOTAL"	"2018"	377	
"013025"	"JAN"	"9"	"TOTAL"	"2018"	3	
"013026"	"JAN"	"9"	"TOTAL"	"2018"	125	
"082082"	"JAN"	"9"	"TOTAL"	"2018"	31	
"028012"	"JAN"	"9"	"TOTAL"	"2018"	85	
"033005"	"JAN"	"9"	"TOTAL"	"2018"	401	
"001026"	"JAN"	"9"	"TOTAL"	"2018"	32	
"003019"	"JAN"	"9"	"TOTAL"	"2018"	44	
"078018"	"JAN"	"9"	"TOTAL"	"2018"	63	
"002014"	"JAN"	"9"	"TOTAL"	"2018"	7	
"022018"	"JAN"	"9"	"TOTAL"	"2018"	17	
"012016"	"JAN"	"9"	"TOTAL"	"2018"	119	
"098003"	"JAN"	"9"	"TOTAL"	"2018"	170	
"015026"	"JAN"	"9"	"TOTAL"	"2018"	227	
"010004"	"JAN"	"9"	"TOTAL"	"2018"	227	
"103012"	"JAN"	"9"	"TOTAL"	"2018"	10	
"003021"	"JAN"	"9"	"TOTAL"	"2018"	87	
"009011"	"JAN"	"9"	"TOTAL"	"2018"	99	
"070003"	"JAN"	"9"	"TOTAL"	"2018"	565	
"011004"	"JAN"	"9"	"TOTAL"	"2018"	576	
"016028"	"JAN"	"9"	"TOTAL"	"2018"	896	
"015027"	"JAN"	"9"	"TOTAL"	"2018"	2519	
"001027"	"JAN"	"9"	"TOTAL"	"2018"	123	
"068003"	"JAN"	"9"	"TOTAL"	"2018"	95	
"082011"	"JAN"	"9"	"TOTAL"	"2018"	75	
"043005"	"JAN"	"9"	"TOTAL"	"2018"	4	
"091010"	"JAN"	"9"	"TOTAL"	"2018"	40	
"056008"	"JAN"	"9"	"TOTAL"	"2018"	355	
"016029"	"JAN"	"9"	"TOTAL"	"2018"	683	
"003022"	"JAN"	"9"	"TOTAL"	"2018"	33	
"024013"	"JAN"	"9"	"TOTAL"	"2018"	347	
