"Territorio"	"Tipo di indicatore demografico"	"Sesso"	"Età"	"Stato civile"	"Seleziona periodo"	"Value"	"Flags"
"Bologna"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	183827	
"Bologna"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	205434	
"Bologna"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	389261	
"Ferrara"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	62359	
"Ferrara"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	69919	
"Ferrara"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	132278	
"Ravenna"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	77222	
"Ravenna"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	81893	
"Ravenna"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	159115	
"Forlì"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	56738	
"Forlì"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	61125	
"Forlì"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	117863	
"Rimini"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	71575	
"Rimini"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	77828	
"Rimini"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	149403	
"Massa"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	33234	
"Massa"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	35803	
"Massa"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	69037	
"Lucca"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	42684	
"Lucca"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	46559	
"Lucca"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	89243	
"Pistoia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	43092	
"Pistoia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	47103	
"Pistoia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	90195	
"Firenze"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	178958	
"Firenze"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	201990	
"Firenze"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	380948	
"Livorno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	75977	
"Livorno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	82394	
"Livorno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	158371	
"Pisa"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	43080	
"Pisa"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	47038	
"Pisa"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	90118	
"Arezzo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	47742	
"Arezzo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	51677	
"Arezzo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	99419	
"Siena"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	24884	
"Siena"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	29017	
"Siena"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	53901	
"Grosseto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	39087	
"Grosseto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	42949	
"Grosseto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	82036	
"Prato"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	93754	
"Prato"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	99571	
"Prato"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	193325	
"Perugia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	79145	
"Perugia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	86538	
"Perugia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	165683	
"Terni"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	52391	
"Terni"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	58798	
"Terni"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	111189	
"Pesaro"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	45382	
"Pesaro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	49576	
"Pesaro"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	94958	
"Ancona"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	48345	
"Ancona"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	52579	
"Ancona"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	100924	
"Macerata"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	19698	
"Macerata"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	22078	
"Macerata"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	41776	
"Ascoli Piceno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	23512	
"Ascoli Piceno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	25261	
"Ascoli Piceno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	48773	
"Fermo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	17991	
"Fermo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	19247	
"Fermo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	37238	
"Viterbo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	32663	
"Viterbo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	35135	
"Viterbo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	67798	
"Rieti"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	22707	
"Rieti"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	24729	
"Rieti"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	47436	
"Roma"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1362863	
"Roma"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1509937	
"Roma"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2872800	
"Latina"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	61500	
"Latina"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	64970	
"Latina"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	126470	
"Frosinone"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	22022	
"Frosinone"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	24041	
"L'Aquila"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	34180	
"L'Aquila"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	35259	
"L'Aquila"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	69439	
"Teramo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	26213	
"Teramo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	54338	
"Pescara"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	55780	
"Pescara"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	63437	
"Pescara"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	119217	
"Chieti"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	26571	
"Chieti"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	50770	
"Campobasso"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	23644	
"Campobasso"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	25618	
"Isernia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	10398	
"Isernia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	11268	
"Isernia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	21666	
"Caserta"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	35471	
"Caserta"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	75561	
"Benevento"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	28508	
"Benevento"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	31281	
"Benevento"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	59789	
"Napoli"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	504236	
"Napoli"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	966144	
"Avellino"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	25574	
"Avellino"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	28779	
"Salerno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	62591	
"Salerno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	71379	
"Salerno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	133970	
"Foggia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	73261	
"Foggia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	151372	
"Bari"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	155452	
"Bari"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	167918	
"Bari"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	323370	
"Taranto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	103613	
"Taranto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	198283	
"Brindisi"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	41720	
"Brindisi"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	45421	
"Lecce"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	44871	
"Lecce"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	50570	
"Lecce"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	95441	
"Andria"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	49290	
"Andria"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	99857	
"Barletta"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	46810	
"Barletta"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	47667	
"Barletta"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	94477	
"Trani"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	28275	
"Trani"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	56031	
"Potenza"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	32476	
"Potenza"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	34735	
"Matera"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	29508	
"Matera"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	30895	
"Matera"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	60403	
"Cosenza"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	31550	
"Cosenza"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	67239	
"Catanzaro"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	46882	
"Reggio di Calabria"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	94505	
"Reggio di Calabria"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	181447	
"Crotone"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	32810	
"Crotone"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	31131	
"Vibo Valentia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	17270	
"Vibo Valentia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	33642	
"Palermo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	319315	
"Palermo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	349090	
"Agrigento"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	29146	
"Albonese"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	283	
"Albonese"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	553	
"Albosaggia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1508	
"Albosaggia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1512	
"Albosaggia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3020	
"Albugnano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	263	
"Albugnano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	245	
"Albugnano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	508	
"Albuzzano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1788	
"Albuzzano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1778	
"Albuzzano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3566	
"Alcamo"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	22185	
"Alcamo"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	23088	
"Alcamo"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	45273	
"Alcara li Fusi"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	893	
"Alcara li Fusi"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1020	
"Alcara li Fusi"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1913	
"Aldeno"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1531	
"Aldeno"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1602	
"Aldeno"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3133	
"Aldino/Aldein"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	847	
"Aldino/Aldein"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	809	
"Aldino/Aldein"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1656	
"Ales"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	713	
"Ales"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	697	
"Ales"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1410	
"Alessandria del Carretto"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	227	
"Alessandria del Carretto"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	205	
"Alessandria del Carretto"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	432	
"Alessandria della Rocca"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1385	
"Alessandria della Rocca"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1482	
"Alessandria della Rocca"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2867	
"Alessano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3027	
"Alessano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3344	
"Alessano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	6371	
"Alezio"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	2733	
"Alezio"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	2999	
"Alezio"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	5732	
"Alfano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	488	
"Alfano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	523	
"Alfano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	1011	
"Alfedena"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	476	
"Alfedena"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	408	
"Alfedena"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	884	
"Alfianello"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1228	
"Alfianello"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1220	
"Alfianello"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2448	
"Alfiano Natta"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	404	
"Alfiano Natta"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	377	
"Alfiano Natta"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	781	
"Alfonsine"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	5764	
"Alfonsine"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	6189	
"Alfonsine"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	11953	
"Alghero"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	21224	
"Alghero"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	22755	
"Alghero"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	43979	
"Algua"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	341	
"Algua"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	332	
"Algua"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	673	
"Alì"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	366	
"Alì"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	386	
"Alì"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	752	
"Alì Terme"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1198	
"Alì Terme"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1261	
"Alì Terme"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	2459	
"Alia"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	1679	
"Alia"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	1849	
"Alia"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	3528	
"Aliano"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	480	
"Aliano"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	487	
"Aliano"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	967	
"Alice Bel Colle"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	408	
"Alice Bel Colle"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	346	
"Alice Bel Colle"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	754	
"Alice Superiore"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	376	
"Alice Superiore"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	349	
"Alice Superiore"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	725	
"Alife"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	3824	
"Alife"	"popolazione al 1º gennaio"	"femmine"	"totale"	"totale"	"2018"	3814	
"Alife"	"popolazione al 1º gennaio"	"totale"	"totale"	"totale"	"2018"	7638	
"Alimena"	"popolazione al 1º gennaio"	"maschi"	"totale"	"totale"	"2018"	908	
